Datetime,Calories,CHO,FAT,PRO
2020-11-19T00:00:00Z,1843.8,175.2,65.2,150.7
2020-11-20T00:00:00Z,2647.5,293.29999999999995,82.39999999999999,95.6
2020-11-21T00:00:00Z,2319.7,329,61.8,83.7
2020-11-22T00:00:00Z,2413.4,240.1,110.6,97.7
2020-11-23T00:00:00Z,1633.2,154.3,94.4,64.4
2020-11-24T00:00:00Z,2232.4,195.2,96.4,146.60000000000002
2020-11-25T00:00:00Z,2679.4,206.2,105.9,186.9
2020-11-26T00:00:00Z,2256.8,256.4,81.1,139.70000000000002
2020-11-30T00:00:00Z,2612.8,201.2,143.8,134.4
2020-12-01T00:00:00Z,2060.7,184.3,99,100.2
2020-12-02T00:00:00Z,2255.3,194,115.30000000000001,112.19999999999999
2020-12-03T00:00:00Z,2074.8,174.2,73.5,110.4
2020-12-04T00:00:00Z,3113.2,279,135.2,119.8
2020-12-05T00:00:00Z,1719.8,136.2,80.6,105.6
2020-12-06T00:00:00Z,1728.5,159.39999999999998,80.89999999999999,86.39999999999999
2020-12-07T00:00:00Z,1700.2,152,55,80.4
2020-12-08T00:00:00Z,1888.3,181.9,66.2,114.6
2020-12-09T00:00:00Z,2878.6,138.5,171.39999999999998,185
2020-12-10T00:00:00Z,2213.9,202.2,90.5,119.6
2020-12-11T00:00:00Z,2246.3,219.39999999999998,93.3,105.19999999999999
2020-12-12T00:00:00Z,3060.8,341.2,110.60000000000001,128.8
2020-12-13T00:00:00Z,2673.9,175.1,377.7,109.4
2020-12-14T00:00:00Z,2775.4,305,118.2,98.30000000000001
2020-12-15T00:00:00Z,2774.4,298,105.1,108.79999999999998
2020-12-16T00:00:00Z,2201.8,216.1,90,105.7
2020-12-17T00:00:00Z,2251.1,184.2,106.6,103.5
2020-12-18T00:00:00Z,3755.3,378.6,164.1,125.9
2020-12-19T00:00:00Z,1208.9,166.5,44.5,28.799999999999997
2020-12-21T00:00:00Z,1819.4,181.10000000000002,72.9,111.3
2020-12-22T00:00:00Z,1119.4,139.9,41.9,46.9
2020-12-24T00:00:00Z,1009.4,79.9,31.4,49.9
2020-12-26T00:00:00Z,2180.6,195.89999999999998,89.5,96.8
2020-12-27T00:00:00Z,1701.6,187.5,76.3,75.5
2020-12-28T00:00:00Z,2494,184.2,126.5,115.99999999999999
2020-12-29T00:00:00Z,1412.6,86.5,80.6,98
2020-12-30T00:00:00Z,3215.7,383.4,101.4,122.4
2021-01-01T00:00:00Z,2107.1,238.2,109.2,63.2
2021-01-02T00:00:00Z,974.4,70.4,29.1,55.9
2021-01-03T00:00:00Z,949.1,20.8,70.5,60.2
2021-01-04T00:00:00Z,125.8,9.9,6.7,6.5
2021-05-03T00:00:00Z,2455.47,264.33,96.35,98.66
2021-05-04T00:00:00Z,2587.92,312.55,103.94,117.44
2021-05-05T00:00:00Z,2040.57,258.57,58.73,123.81
2021-05-06T00:00:00Z,2643.35,275.51,107.26,120.8
